"State Street Corporation","state street corporation"
"Auburn National Bancorporation, Inc.","auburn national"
"Rbc, Inc.","rbc"
"Phenix-Girard Bancshares, Inc.","phenix-girard bancshares"
"Merchants Financial Services, Inc.","merchants financial services"
"Traders & Farmers Bancshares, Inc.","traders & farmers bancshares"
"Independent Bancshares, Inc. Employee Stock Ownership Plan","independent bancshares employee stock ownership plan"
"First Vernon Bancshares, Inc.","first vernon bancshares"
"Citizens Bancorp Of Winfield, Inc.","citizens bancorp of winfield"
"Gadsden Corporation, The","gadsden corporation the"
"United Bancorporation Of Alabama, Inc.","united of alabama"
"Peoples Exchange Bancshares, Inc.","peoples exchange bancshares"
"Central State Bancorporation","central state"
"Bancsouth Corporation","bancsouth corporation"
"Harrell Bancshares, Inc.","harrell bancshares"
"Community First Bancshares, Inc.","community first bancshares"
"Drew Bancshares, Inc.","drew bancshares"
"Acme Holding Company Inc. Employee Stock Ownership Plan","acme holding company employee stock ownership plan"
"Riverside Bancshares, Inc","riverside bancshares"
"Bradley Bancshares, Inc.","bradley bancshares"
"Prescott Bancshares, Inc","prescott bancshares"
"Sharp Bancshares, Inc.","sharp bancshares"
"Clarendon Holding Co.","clarendon holding co"
"Pioneer Bancshares, Inc. Of Horatio, Ark","pioneer bancshares of horatio ark"
"Bank Of The Ozarks Inc","bank of the ozarks"
"Capgen Capital Group Iii Lp","capgen capital group iii lp"
"Century Bancorp, Inc.","century bancorp"
"Madison Bank Corp.","madison bank corporation"
"Hazlehurst Investors, Inc.","hazlehurst investors"
"Alapaha Holding Company","alapaha holding company"
"Exchange Bankshares, Inc.","exchange bankshares"
"United Bank Corporation","united bank corporation"
"Tcb Bancshares, Inc.","tcb bancshares"
"Tsb Bancorp, Inc.","tsb bancorp"
"Liberty Shares, Inc.","liberty shares"
"Century Bank Corp.","century bank corporation"
"Alliance Bancorp","alliance bancorp"
"Tri-County Bancorp.","tri-county bancorp"
"W.S.b., Inc.","wsb"
"Rog-Lee, Incorporated","rog-lee incorporated"
"Country Bancorporation","country"
"Guthrie County Bancshares, Inc.","guthrie county bancshares"
"Ambank Company, Inc.","ambank company"
"Community State Bancorporation","community state"
"Commercial Ban Corp.","commercial ban corporation"
"Solon Financial, Inc.","solon financial"
"Dentel Bancorporation","dentel"
"Old O'brien Banc Shares, Inc.","old obrien banc shares"
"Perry Investment Company","perry investment company"
