"tickers","names"
"CLBH","Carolina Bank Holdings Inc"
"SOCB","Southcoast Financial Corp"
"JAXB","Jacksonville Bancorp"
"CARO","Carolina Financial"
"FSB","Franklin Financial Network Inc"
"ACFC","Atlantic Coast Federal Corp"
"NBBC","Newbridge Bancorp"
"SFST","Southern First Bancshares"
"BNCN","BNC Bancorp"
"DNBF","Dnb Financial Corp"
"PBIB","Porter Bancorp"
"YDKN","Yadkin Valley Financial Corp"
"COB","Community One Bancorp"
"FCCO","First Community Corp"
"TOWN","Towne Bank"
"ABCB","Ameris Bancorp"
"CBAN","Colony Bankcorp"
"FCB","Fcb Financial Holdings Inc"
"CIZN","Citizens Holding Company"
"OPOF","Old Point Financial Corp"
"LION","Fidelity Southern Corp"
"MNRK","Monarch Financial Holdings"
"CSFL","Centerstate Banks"
"FBMS","The First Bancshares"
"OZRK","Bank of The Ozarks"
"ENFC","Entegra Financial Corp"
"ASBB","Asb Bancorp Inc"
"SFNC","Simmons First National Corp"
"CART","Carolina Trust Bank"
"AUBN","Auburn National Bancorporation"
"ISTR","Investar Holding Corp"
"HTBI","Hometrust Bancshares Inc"
"HOMB","Home Bancshares"
"CUBI","Customers Bancorp"
"HBCP","Home Bancorp"
"VBTX","Veritex Holdings Inc"
"SONA","Southern National Bancorp of Virginia"
"BOTJ","Bank of The Jame Fnl"
"PNFP","Pinnacle Financial Partners"
"BLMT","Bsb Bancorp Inc"
"CZFC","Citizens First Corp"
"FFKT","Farmers Capital Bank Corp"
"NKSH","National Bankshares"
"CBF","Capital Bank Financial Corp"
"RNST","Renasant Corp"
"PSTB","Park Sterling Bank"
"SNV","Synovus Financial Corp"
"ANCX","Access National Corp"
"SGBK","Stonegate Bank [Fl]"
"EVBS","Eastern Virginia Bankshares"
"SBCF","Seacoast Banking Corporation of Florida"
"PFBI","Premier Financial Bancorp"
"UBSH","Union First Market Bankshares Corp"
"FBNC","First Bancorp"
"HMPR","Hampton Roads Bankshares Inc"
"FCBC","First Community Bancshares"
"BKSC","Bank of South Carolina"
"FSBK","First South Bancorp Inc"
"TBK","Triumph Bancorp Inc"
"CUBN","Commerce Union Bk Tn"
"NBHC","National Bank Holdings Corp"
"CFNL","Cardinal Financial Corp"
"AMNB","American National Bankshares"
"PEBK","Peoples Bancorp of North Carolina"
"USBI","United Security Bancshares"
"RBCAA","Republic Bancorp"
"CFFI","C&F Financial Corp"
"CHMG","Chemung Financial Corp"
"NCOM","National Commerce Corp"
"SGB","Southwest Georgia Financial Corp"
"FCNCA","First Citizens Bancshares"
"SMMF","Summit Financial Group"
"SSB","South State Corporation"
"MBRG","Middleburg Financial Corp"
"CCBG","Capital City Bank Group"
"STBZ","State Bank Finl Corp"
"BSF","Bear State Financial Inc"
"CTBI","Community Trust Bancorp"
"BXS","Bancorpsouth Inc"
"UCBI","United Community Banks"
"FNBC","First Nbc Bank Holding Company"
"FHN","First Tennessee National Corp"
"CHCO","City Holding Company"
"FNB","F.N.B. Corp"
"UBSI","United Bankshares"
"TRMK","Trustmark Corp"
"RF","Regions Financial Corp"
"WSBC","Wesbanco Inc"
"HTH","Hilltop Holdings Inc"
"FBSS","Fauquier Bankshares"
"HBHC","Hancock Holding Company"
"PFBX","Peoples Financial Corp"
"IBKC","Iberiabank Corp"
"IBTX","Independent Bank Group Inc"
"BPOP","Popular Inc"
"VBFC","Village Bank and Trust Financial"
"GNBC","Green Bancorp Inc"
"FBP","First Bancorp"
"MSL","Midsouth Bancorp"
"Sym","Name"
"WFBI","Washingtonfirst Bk"
"UNTY","Unity Bancorp"
"FMBH","First Mid Ill Bancshares Inc"
"FUNC","First United Corp"
"INBK","First Internet Bancorp"
"FCFP","First Community Financial Partners Inc"
"EGBN","Eagle Bancorp"
"MLVF","Malvern Federal Bancorp"
"HIFS","Hingham Institution For Savings"
"YCB","Your Community Bankshares Inc"
"SHBI","Shore Bancshares Inc"
"FRBK","Republic First Bancorp"
"UCBA","United Community Bancorp"
"FXCB","Fox Chase Bancorp"
"CWAY","Coastway Bancorp Inc"
"TBNK","Territorial Bancorp Inc"
"OLBK","Old Line Bancshares"
"SBBX","Sussex Bancorp"
"TSC","Tristate Capital Holdings Inc"
"GWB","Great Western Bancorp Inc"
"SAL","Salisbury Bancorp"
"SCNB","Suffolk Bancorp"
"CBFV","Cb Financial Services Inc"
"XBKS","Xenith Bankshares"
