"tickers"	"names"
"GGAL"	"Grupo Financiero Galicia S.A."
"BFR"	"Bbva Banco Frances S.A."
"BMA"	"Banco Macro S.A."
"MFG"	"Mizuho Financial Group"
"HDB"	"Hdfc Bank Ltd"
"MTU"	"Mitsubishi Ufj Financial Group Inc"
"SMFG"	"Sumitomo Mitsui Financial Group Inc"
"UBS"	"UBS Ag Ordinary Shares When Iss"
"LYG"	"Lloyds Banking Group Plc"
"BCH"	"Banco De Chile"
"BSAC"	"Banco Santander-Chile Ads"
"TD"	"Toronto Dominion Bank"
"BLX"	"Banco Latinoamericano De Comercio"
"BMO"	"Bank of Montreal"
"CM"	"Canadian Imperial Bank of Commerce"
"BSMX"	"Grupo Financiero Santander Mxi"
"HSBC"	"HSBC Holdings Plc"
"WBK"	"Westpac Banking Corp"
"SHG"	"Shinhan Financial Group Co Ltd"
"CS"	"Credit Suisse Group"
"RY"	"Royal Bank of Canada"
"BCS"	"Barclays Plc"
"KB"	"KB Financial Group Inc"
"BNS"	"Bank of Nova Scotia"
"RBS"	"Royal Bank Scotland Group Plc"
"DB"	"Deutsche Bank Ag"
"BSBR"	"Banco Santander Brasil Sa"
"BBVA"	"Banco Bilbao Viscaya Argentaria S.A."
"BCA"	"Corpbanca"
"IBN"	"Icici Bank Ltd"
"SAN"	"Banco Santander"
"BAP"	"Credicorp Ltd"
"CIB"	"Bancolombia S.A."
"ITUB"	"Itau Unibanco Banco Holding Sa"
"BBDO"	"Banco Bradesco S.A."
"BBD"	"Banco Bradesco Sa"
