"tickers"	"names"
"MBTF"	"M B T Financial Corp"
"EFSC"	"Enterprise Financial Services Corp"
"OSBC"	"Old Second Bancorp"
"UBOH"	"United Bancshares"
"QCRH"	"Qcr Holdings"
"MCBC"	"Macatawa Bank Corp"
"BYLK"	"Baylake Corp"
"MBWM"	"Mercantile Bank Corp"
"GABC"	"German American Bancorp"
"CIVB"	"Civista Bancshares Inc"
"IBCP"	"Independent Bank Corp"
"EBMT"	"Eagle Bancorp Montana"
"LKFN"	"Lakeland Financial Corp"
"FMNB"	"Farmers Natl Banc Corp Oh"
"PVTB"	"Privatebancorp"
"FCLF"	"First Clover Leaf Financial"
"UBCP"	"United Bancorp"
"BUSE"	"First Busey Corp"
"FBIZ"	"First Business Financial Services"
"CHFC"	"Chemical Financial Corp"
"FIBK"	"First Interstate Bancsystem"
"CHEV"	"Cheviot Financial Corp"
"CFCB"	"Centrue Financial Corp"
"MSFG"	"Mainsource Financial Group"
"FMBI"	"First Midwest Bancorp"
"OVBC"	"Ohio Valley Banc"
"FRME"	"First Merchants Corp"
"PRK"	"Park National Corp"
"MFNC"	"Mackinac Financial Corp"
"MOFG"	"Midwestone Financial Group"
"WTFC"	"Wintrust Financial Corp"
"HBAN"	"Huntington Bancshares Inc"
"THFF"	"First Financial Corporation Indiana"
"ASB"	"Associated Banc-Corp"
"ATLO"	"Ames National Corp"
"FMER"	"Firstmerit Corp"
"FFBC"	"First Financial Bancorp"
"CBSH"	"Commerce Bancshares"
"SRCE"	"1St Source Corp"
"HTLF"	"Heartland Financial USA"
"ONB"	"Old National Bancorp Capital"
"TCB"	"TCF Financial Corp"
"UMBF"	"UMB Financial Corp"
"PEBO"	"Peoples Bancorp Inc"
