"tickers"	"names"
"WFBI"	"Washingtonfirst Bk"
"UNTY"	"Unity Bancorp"
"FUNC"	"First United Corp"
"INBK"	"First Internet Bancorp"
"FMBH"	"First Mid Ill Bancshares Inc"
"MLVF"	"Malvern Federal Bancorp"
"EGBN"	"Eagle Bancorp"
"FCFP"	"First Community Financial Partners Inc"
"HIFS"	"Hingham Institution For Savings"
"SHBI"	"Shore Bancshares Inc"
"FRBK"	"Republic First Bancorp"
"YCB"	"Your Community Bankshares Inc"
"TBNK"	"Territorial Bancorp Inc"
"SBBX"	"Sussex Bancorp"
"FXCB"	"Fox Chase Bancorp"
"XBKS"	"Xenith Bankshares"
"UCBA"	"United Community Bancorp"
"TSC"	"Tristate Capital Holdings Inc"
"CWAY"	"Coastway Bancorp Inc"
"GWB"	"Great Western Bancorp Inc"
"SAL"	"Salisbury Bancorp"
"SCNB"	"Suffolk Bancorp"
"OLBK"	"Old Line Bancshares"
"FCCY"	"1St Constitution Bancorp [Nj]"
"FLIC"	"The First of Long Island Corp"
"IROQ"	"If Bancorp Inc"
"HWBK"	"Hawthorn Bancshares"
"TRCB"	"Two River Bancorp"
"CBFV"	"Cb Financial Services Inc"
"STL"	"Sterling Bancorp"
"FISI"	"Financial Institutions"
"SVBI"	"Severn Bancorp Inc"
"HBNC"	"Horizon Bancorp [In]"
"NPBC"	"National Penn Bancshares"
"BDGE"	"Bridge Bancorp"
"CBNK"	"Chicopee Bancorp"
"AVNU"	"Avenue Financial Holdings Inc"
"SMBK"	"Smartfinancial Inc."
"ICBK"	"County Bancorp Inc"
"SBFG"	"Sb Financial Group Inc"
"UNB"	"Union Bankshares"
"CAC"	"Camden National Corp"
"BHBK"	"Blue Hills Bancorp Inc"
"FRBA"	"First Bank [Nj]"
"HBMD"	"Howard Bancorp MD"
"ASRV"	"Ameriserv Financial Inc"
"SNBC"	"Sun Bancorp"
"BYBK"	"Bay Bancorp Inc"
"WBB"	"Westbury Bancorp Inc"
"SSFN"	"Stewardship Financial Corp"
"METR"	"Metro Bancorp Inc"
"FNLC"	"First Bancorp Inc [Me]"
"SBNY"	"Signature Bank"
"CNBKA"	"Century Bancorp"
"LCNB"	"Lcnb Corp"
"EVBN"	"Evans Bancorp"
"ORIT"	"Oritani Financial"
"BNCL"	"Beneficial Mutual Bancorp"
"HBK"	"Hamilton Bancorp Inc"
"FBNK"	"First Connecticut Bancorp Inc"
"UVSP"	"Univest Corporation of Pennsylvania"
"RBPAA"	"Royal Bancshares of Pennsylvania"
"ORRF"	"Orrstown Financial Services Inc"
"PKBK"	"Parke Bancorp"
"INDB"	"Independent Bank"
"TCFC"	"Tri-County Financial Corp"
"CBU"	"Community Bank System"
"MPB"	"Mid Penn Bancorp"
"CVLY"	"Codorus Valley Bancorp Inc"
"NBTB"	"NBT Bancorp Inc"
"PGC"	"Peapack-Gladstone Financial Corp"
"TMP"	"Tompkinstrustco"
"WBS"	"Webster Financial Corp"
"SASR"	"Sandy Spring Bancorp"
"CZNC"	"Citizens & Northern Corp"
"FULT"	"Fulton Financial Corp"
"BVA"	"Cordia Bancorp Inc"
"MBVT"	"Merchants Bancshares"
"AROW"	"Arrow Financial Corp"
"EBTC"	"Enterprise Bancorp Inc"
"STBA"	"S&T Bancorp"
"CCNE"	"Cnb Financial Corp"
"BKJ"	"Bancorp of New Jersey Inc"
"WASH"	"Washington Trust Bancorp"
"EMCF"	"Emclaire Financial Corp"
"FCF"	"First Commonwealth Financial Corp"
"LBAI"	"Lakeland Bancorp"
"BHB"	"Bar Harbor Bankshares"
"MBCN"	"Middlefield Banc Cor"
"NWFL"	"Norwood Financial"
"BMTC"	"Bryn Mawr Bank Corp"
"MBFI"	"MB Financial Inc"
"CNOB"	"Connectone Bancorp Inc"
"VLY"	"Valley National Bancorp"
"BCBP"	"Bcb Bancorp Inc. [Nj]"
"UBNK"	"United Financial Bancorp Inc"
"GLBZ"	"Glen Burnie Bancorp"
"PWOD"	"Penns Woods Bancorp"
"TRST"	"Trustco Bank Corp NY"
"BPFH"	"Boston Private Financial Holdings"
