"tickers"	"names"
"CLBH"	"Carolina Bank Holdings Inc"
"SOCB"	"Southcoast Financial Corp"
"FSB"	"Franklin Financial Network Inc"
"CARO"	"Carolina Financial"
"JAXB"	"Jacksonville Bancorp"
"NBBC"	"Newbridge Bancorp"
"BNCN"	"BNC Bancorp"
"ACFC"	"Atlantic Coast Federal Corp"
"CSFL"	"Centerstate Banks"
"FCB"	"Fcb Financial Holdings Inc"
"PBIB"	"Porter Bancorp"
"TOWN"	"Towne Bank"
"OPOF"	"Old Point Financial Corp"
"COB"	"Community One Bancorp"
"DNBF"	"Dnb Financial Corp"
"LION"	"Fidelity Southern Corp"
"ABCB"	"Ameris Bancorp"
"SFST"	"Southern First Bancshares"
"YDKN"	"Yadkin Valley Financial Corp"
"CART"	"Carolina Trust Bank"
"CIZN"	"Citizens Holding Company"
"MNRK"	"Monarch Financial Holdings"
"OZRK"	"Bank of The Ozarks"
"SFNC"	"Simmons First National Corp"
"CBAN"	"Colony Bankcorp"
"AUBN"	"Auburn National Bancorporation"
"PNFP"	"Pinnacle Financial Partners"
"ASBB"	"Asb Bancorp Inc"
"ENFC"	"Entegra Financial Corp"
"FCCO"	"First Community Corp"
"ISTR"	"Investar Holding Corp"
"FBMS"	"The First Bancshares"
"HTBI"	"Hometrust Bancshares Inc"
"CUBI"	"Customers Bancorp"
"HOMB"	"Home Bancshares"
"BLMT"	"Bsb Bancorp Inc"
"CBF"	"Capital Bank Financial Corp"
"TBK"	"Triumph Bancorp Inc"
"HBCP"	"Home Bancorp"
"SONA"	"Southern National Bancorp of Virginia"
"VBTX"	"Veritex Holdings Inc"
"BOTJ"	"Bank of The Jame Fnl"
"CZFC"	"Citizens First Corp"
"RNST"	"Renasant Corp"
"NKSH"	"National Bankshares"
"SGBK"	"Stonegate Bank [Fl]"
"SNV"	"Synovus Financial Corp"
"PSTB"	"Park Sterling Bank"
"FFKT"	"Farmers Capital Bank Corp"
"UBSH"	"Union First Market Bankshares Corp"
"ANCX"	"Access National Corp"
"AMNB"	"American National Bankshares"
"CFNL"	"Cardinal Financial Corp"
"SGB"	"Southwest Georgia Financial Corp"
"NBHC"	"National Bank Holdings Corp"
"FCBC"	"First Community Bancshares"
"EVBS"	"Eastern Virginia Bankshares"
"SBCF"	"Seacoast Banking Corporation of Florida"
"PFBI"	"Premier Financial Bancorp"
"HMPR"	"Hampton Roads Bankshares Inc"
"FSBK"	"First South Bancorp Inc"
"FBNC"	"First Bancorp"
"NCOM"	"National Commerce Corp"
"USBI"	"United Security Bancshares"
"BKSC"	"Bank of South Carolina"
"CCBG"	"Capital City Bank Group"
"RBCAA"	"Republic Bancorp"
"CUBN"	"Commerce Union Bk Tn"
"CFFI"	"C&F Financial Corp"
"PEBK"	"Peoples Bancorp of North Carolina"
"SSB"	"South State Corporation"
"SMMF"	"Summit Financial Group"
"FNBC"	"First Nbc Bank Holding Company"
"BXS"	"Bancorpsouth Inc"
"FCNCA"	"First Citizens Bancshares"
"CHMG"	"Chemung Financial Corp"
"UCBI"	"United Community Banks"
"FHN"	"First Tennessee National Corp"
"MBRG"	"Middleburg Financial Corp"
"STBZ"	"State Bank Finl Corp"
"CTBI"	"Community Trust Bancorp"
"FNB"	"F.N.B. Corp"
"BSF"	"Bear State Financial Inc"
"CHCO"	"City Holding Company"
"UBSI"	"United Bankshares"
"TRMK"	"Trustmark Corp"
"RF"	"Regions Financial Corp"
"HTH"	"Hilltop Holdings Inc"
"WSBC"	"Wesbanco Inc"
"FBSS"	"Fauquier Bankshares"
"HBHC"	"Hancock Holding Company"
"VBFC"	"Village Bank and Trust Financial"
"IBKC"	"Iberiabank Corp"
"BPOP"	"Popular Inc"
"IBTX"	"Independent Bank Group Inc"
"PFBX"	"Peoples Financial Corp"
"GNBC"	"Green Bancorp Inc"
"FBP"	"First Bancorp"
"MSL"	"Midsouth Bancorp"
