"tickers"	"names"
"FSBW"	"FS Bancorp Inc"
"SFBC"	"Sound Financial Inc"
"HTBK"	"Heritage Commerce Corp"
"PFBC"	"Preferred Bank"
"CACB"	"Cascade Bancorp"
"BOCH"	"Bank of Commerce Holdings [Ca]"
"FFNW"	"First Financial Northwest"
"WAL"	"Western Alliance Bancorporation"
"FRC"	"First Republic Bank"
"AMRB"	"American River Bankshares"
"CUNB"	"California United Bk"
"BBCN"	"Bbcn Bancorp Inc"
"PCBK"	"Pacific Continental Corporation [Ore]"
"NRIM"	"Northrim Bancorp Inc"
"CWBC"	"Community West Bancshares"
"TCBK"	"Trico Bancshares"
"WIBC"	"Wilshire Bancorp"
"COLB"	"Columbia Banking System"
"SSBI"	"Summit State Bank"
"OVLY"	"Oak Valley Bancorp [Ca]"
"CVCY"	"Central Valley Community Bancorp"
"BMRC"	"Bank of Marin Bancorp"
"GBNK"	"Guaranty Bancorp"
"CATY"	"Cathay General Bancorp"
"PLBC"	"Plumas Bancorp"
"BSRR"	"Sierra Bancorp"
"UBFO"	"United Security Bancshares"
"PMBC"	"Pacific Mercantile Bancorp"
"PUB"	"People's Utah Bancorp"
"BOH"	"Bank of Hawaii Corp"
"CFNB"	"California First National Bancorp"
"COBZ"	"Cobiz Financial Inc"
"CVBF"	"Cvb Financial Corp"
"CPF"	"Central Pacific Financial Co"
"HAFC"	"Hanmi Financial Corp"
"EWBC"	"East West Bancorp"
"WABC"	"Westamerica Bancorporation"
"HEOP"	"Heritage Oaks Bancorp"
"GBCI"	"Glacier Bancorp"
"LSBG"	"Lake Sunapee Bank Group"
"ZION"	"Zions Bancorporation"
"SIVB"	"Svb Financial Group"
"UMPQ"	"Umpqua Holdings Corp"
"PACW"	"Pacwest Bancorp"
"BOFI"	"Bofi Holding"
