"CLBH","Carolina Bank Holdings Inc"
"SOCB","Southcoast Financial Corp"
"JAXB","Jacksonville Bancorp"
"FSB","Franklin Financial Network Inc"
"NBBC","Newbridge Bancorp"
"SFST","Southern First Bancshares"
"BNCN","BNC Bancorp"
"DNBF","Dnb Financial Corp"
"PBIB","Porter Bancorp"
"COB","Community One Bancorp"
"FCCO","First Community Corp"
"ABCB","Ameris Bancorp"
"CBAN","Colony Bankcorp"
"CIZN","Citizens Holding Company"
"OPOF","Old Point Financial Corp"
"LION","Fidelity Southern Corp"
"MNRK","Monarch Financial Holdings"
"CSFL","Centerstate Banks"
"OZRK","Bank of The Ozarks"
"ENFC","Entegra Financial Corp"
"ASBB","Asb Bancorp Inc"
"SFNC","Simmons First National Corp"
"AUBN","Auburn National Bancorporation"
"ISTR","Investar Holding Corp"
"HTBI","Hometrust Bancshares Inc"
"HOMB","Home Bancshares"
"CUBI","Customers Bancorp"
"HBCP","Home Bancorp"
"VBTX","Veritex Holdings Inc"
"SONA","Southern National Bancorp of Virginia"
"PNFP","Pinnacle Financial Partners"
"BLMT","Bsb Bancorp Inc"
"CZFC","Citizens First Corp"
"FFKT","Farmers Capital Bank Corp"
"NKSH","National Bankshares"
"CBF","Capital Bank Financial Corp"
"RNST","Renasant Corp"
"SNV","Synovus Financial Corp"
"ANCX","Access National Corp"
"EVBS","Eastern Virginia Bankshares"
"PFBI","Premier Financial Bancorp"
"FBNC","First Bancorp"
"FCBC","First Community Bancshares"
"FSBK","First South Bancorp Inc"
"NBHC","National Bank Holdings Corp"
"CFNL","Cardinal Financial Corp"
"AMNB","American National Bankshares"
"PEBK","Peoples Bancorp of North Carolina"
"USBI","United Security Bancshares"
"RBCAA","Republic Bancorp"
"CFFI","C&F Financial Corp"
"CHMG","Chemung Financial Corp"
"NCOM","National Commerce Corp"
"SGB","Southwest Georgia Financial Corp"
"FCNCA","First Citizens Bancshares"
"SMMF","Summit Financial Group"
"SSB","South State Corporation"
"MBRG","Middleburg Financial Corp"
"CCBG","Capital City Bank Group"
"CTBI","Community Trust Bancorp"
"BXS","Bancorpsouth Inc"
"UCBI","United Community Banks"
"FNBC","First Nbc Bank Holding Company"
"CHCO","City Holding Company"
"FNB","F.N.B. Corp"
"UBSI","United Bankshares"
"TRMK","Trustmark Corp"
"RF","Regions Financial Corp"
"WSBC","Wesbanco Inc"
"FBSS","Fauquier Bankshares"
"HBHC","Hancock Holding Company"
"PFBX","Peoples Financial Corp"
"IBKC","Iberiabank Corp"
"IBTX","Independent Bank Group Inc"
"BPOP","Popular Inc"
"GNBC","Green Bancorp Inc"
"FBP","First Bancorp"
"MSL","Midsouth Bancorp"
"UNTY","Unity Bancorp"
"FUNC","First United Corp"
"INBK","First Internet Bancorp"
"FCFP","First Community Financial Partners Inc"
"EGBN","Eagle Bancorp"
"YCB","Your Community Bankshares Inc"
"SHBI","Shore Bancshares Inc"
"FRBK","Republic First Bancorp"
"UCBA","United Community Bancorp"
"FXCB","Fox Chase Bancorp"
"CWAY","Coastway Bancorp Inc"
"OLBK","Old Line Bancshares"
"SBBX","Sussex Bancorp"
"TSC","Tristate Capital Holdings Inc"
"GWB","Great Western Bancorp Inc"
"SAL","Salisbury Bancorp"
